"ServiceName","Name","Status","DisplayName"
"MessagingService_8a2a4","MessagingService_8a2a4","Stopped","MessagingService_8a2a4"
"mpssvc","mpssvc","Running","Windows Defender Firewall"
"MSDTC","MSDTC","Stopped","Distributed Transaction Coordinator"
"MSiSCSI","MSiSCSI","Stopped","Microsoft iSCSI Initiator Service"
"msiserver","msiserver","Stopped","Windows Installer"
"NaturalAuthentication","NaturalAuthentication","Stopped","Natural Authentication"
"NcaSvc","NcaSvc","Stopped","Network Connectivity Assistant"
"NcbService","NcbService","Running","Network Connection Broker"
"NcdAutoSetup","NcdAutoSetup","Running","Network Connected Devices Auto-Setup"
"Netlogon","Netlogon","Stopped","Netlogon"
"Netman","Netman","Stopped","Network Connections"
"netprofm","netprofm","Running","Network List Service"
"NetSetupSvc","NetSetupSvc","Stopped","Network Setup Service"
"NetTcpPortSharing","NetTcpPortSharing","Stopped","Net.Tcp Port Sharing Service"
"NgcCtnrSvc","NgcCtnrSvc","Stopped","Microsoft Passport Container"
"NgcSvc","NgcSvc","Stopped","Microsoft Passport"
"NlaSvc","NlaSvc","Running","Network Location Awareness"
"nsi","nsi","Running","Network Store Interface Service"
"OneSyncSvc_8a2a4","OneSyncSvc_8a2a4","Running","Sync Host_8a2a4"
"p2pimsvc","p2pimsvc","Stopped","Peer Networking Identity Manager"
"p2psvc","p2psvc","Stopped","Peer Networking Grouping"
"PcaSvc","PcaSvc","Running","Program Compatibility Assistant Service"
"PeerDistSvc","PeerDistSvc","Stopped","BranchCache"
"perceptionsimulation","perceptionsimulation","Stopped","Windows Perception Simulation Service"
"PerfHost","PerfHost","Stopped","Performance Counter DLL Host"
"PhoneSvc","PhoneSvc","Stopped","Phone Service"
"PimIndexMaintenanceSvc_8a2a4","PimIndexMaintenanceSvc_8a2a4","Stopped","Contact Data_8a2a4"
"pla","pla","Running","Performance Logs & Alerts"
"PlugPlay","PlugPlay","Running","Plug and Play"
"PNRPAutoReg","PNRPAutoReg","Stopped","PNRP Machine Name Publication Service"
"PNRPsvc","PNRPsvc","Stopped","Peer Name Resolution Protocol"
"PolicyAgent","PolicyAgent","Running","IPsec Policy Agent"
"Power","Power","Running","Power"
"PrintNotify","PrintNotify","Stopped","Printer Extensions and Notifications"
"PrintWorkflowUserSvc_8a2a4","PrintWorkflowUserSvc_8a2a4","Stopped","PrintWorkflow_8a2a4"
"ProfSvc","ProfSvc","Running","User Profile Service"
"PushToInstall","PushToInstall","Stopped","Windows PushToInstall Service"
"QWAVE","QWAVE","Stopped","Quality Windows Audio Video Experience"
"RasAuto","RasAuto","Stopped","Remote Access Auto Connection Manager"
"RasMan","RasMan","Stopped","Remote Access Connection Manager"
"RdAgent","RdAgent","Running","RdAgent"
"RemoteAccess","RemoteAccess","Stopped","Routing and Remote Access"
"RemoteRegistry","RemoteRegistry","Stopped","Remote Registry"
"RetailDemo","RetailDemo","Stopped","Retail Demo Service"
"RmSvc","RmSvc","Stopped","Radio Management Service"
"RpcEptMapper","RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcLocator","RpcLocator","Stopped","Remote Procedure Call (RPC) Locator"
"RpcSs","RpcSs","Running","Remote Procedure Call (RPC)"
"SamSs","SamSs","Running","Security Accounts Manager"
"SCardSvr","SCardSvr","Stopped","Smart Card"
"ScDeviceEnum","ScDeviceEnum","Running","Smart Card Device Enumeration Service"
"Schedule","Schedule","Running","Task Scheduler"
"SCPolicySvc","SCPolicySvc","Stopped","Smart Card Removal Policy"
"SDRSVC","SDRSVC","Stopped","Windows Backup"
"seclogon","seclogon","Stopped","Secondary Logon"
"SecurityHealthService","SecurityHealthService","Running","Windows Security Service"
"SEMgrSvc","SEMgrSvc","Running","Payments and NFC/SE Manager"
"SENS","SENS","Running","System Event Notification Service"
"Sense","Sense","Stopped","Windows Defender Advanced Threat Protection Service"
"SensorDataService","SensorDataService","Stopped","Sensor Data Service"
"SensorService","SensorService","Stopped","Sensor Service"
"SensrSvc","SensrSvc","Stopped","Sensor Monitoring Service"
"SessionEnv","SessionEnv","Running","Remote Desktop Configuration"
"SgrmBroker","SgrmBroker","Running","System Guard Runtime Monitor Broker"
"SharedAccess","SharedAccess","Stopped","Internet Connection Sharing (ICS)"
"SharedRealitySvc","SharedRealitySvc","Stopped","Spatial Data Service"
"ShellHWDetection","ShellHWDetection","Running","Shell Hardware Detection"
"shpamsvc","shpamsvc","Stopped","Shared PC Account Manager"
"smphost","smphost","Stopped","Microsoft Storage Spaces SMP"
"SmsRouter","SmsRouter","Stopped","Microsoft Windows SMS Router Service."
"SNMPTRAP","SNMPTRAP","Stopped","SNMP Trap"
"spectrum","spectrum","Stopped","Windows Perception Service"
"Spooler","Spooler","Running","Print Spooler"
"sppsvc","sppsvc","Stopped","Software Protection"
"SSDPSRV","SSDPSRV","Running","SSDP Discovery"
"ssh-agent","ssh-agent","Stopped","OpenSSH Authentication Agent"
"SstpSvc","SstpSvc","Stopped","Secure Socket Tunneling Protocol Service"
"StateRepository","StateRepository","Running","State Repository Service"
"stisvc","stisvc","Stopped","Windows Image Acquisition (WIA)"
"StorSvc","StorSvc","Running","Storage Service"
"svsvc","svsvc","Stopped","Spot Verifier"
"swprv","swprv","Stopped","Microsoft Software Shadow Copy Provider"
"SysMain","SysMain","Running","SysMain"
"SystemEventsBroker","SystemEventsBroker","Running","System Events Broker"
"TabletInputService","TabletInputService","Running","Touch Keyboard and Handwriting Panel Service"
"TapiSrv","TapiSrv","Stopped","Telephony"
"TermService","TermService","Running","Remote Desktop Services"
"Themes","Themes","Running","Themes"
"TieringEngineService","TieringEngineService","Stopped","Storage Tiers Management"
"TimeBrokerSvc","TimeBrokerSvc","Running","Time Broker"
"TokenBroker","TokenBroker","Running","Web Account Manager"
"TrkWks","TrkWks","Running","Distributed Link Tracking Client"
"TrustedInstaller","TrustedInstaller","Stopped","Windows Modules Installer"
"tzautoupdate","tzautoupdate","Stopped","Auto Time Zone Updater"
"UevAgentService","UevAgentService","Stopped","User Experience Virtualization Service"
"UmRdpService","UmRdpService","Running","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_8a2a4","UnistoreSvc_8a2a4","Stopped","User Data Storage_8a2a4"
"upnphost","upnphost","Stopped","UPnP Device Host"
"UserDataSvc_8a2a4","UserDataSvc_8a2a4","Stopped","User Data Access_8a2a4"
"UserManager","UserManager","Running","User Manager"
"UsoSvc","UsoSvc","Running","Update Orchestrator Service"
"VacSvc","VacSvc","Stopped","Volumetric Audio Compositor Service"
"VaultSvc","VaultSvc","Running","Credential Manager"
"vds","vds","Stopped","Virtual Disk"
"vmicguestinterface","vmicguestinterface","Stopped","Hyper-V Guest Service Interface"
"vmicheartbeat","vmicheartbeat","Running","Hyper-V Heartbeat Service"
"vmickvpexchange","vmickvpexchange","Running","Hyper-V Data Exchange Service"
"vmicrdv","vmicrdv","Running","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","vmicshutdown","Running","Hyper-V Guest Shutdown Service"
"vmictimesync","vmictimesync","Running","Hyper-V Time Synchronization Service"
"vmicvmsession","vmicvmsession","Stopped","Hyper-V PowerShell Direct Service"
"vmicvss","vmicvss","Running","Hyper-V Volume Shadow Copy Requestor"
"VSS","VSS","Running","Volume Shadow Copy"
"W32Time","W32Time","Running","Windows Time"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Windows Update Medic Service"
"WalletService","WalletService","Stopped","WalletService"
"WarpJITSvc","WarpJITSvc","Running","WarpJITSvc"
"wbengine","wbengine","Stopped","Block Level Backup Engine Service"
"WbioSrvc","WbioSrvc","Stopped","Windows Biometric Service"
"Wcmsvc","Wcmsvc","Running","Windows Connection Manager"
"wcncsvc","wcncsvc","Stopped","Windows Connect Now - Config Registrar"
"WdiServiceHost","WdiServiceHost","Running","Diagnostic Service Host"
"WdiSystemHost","WdiSystemHost","Stopped","Diagnostic System Host"
"WdNisSvc","WdNisSvc","Running","Windows Defender Antivirus Network Inspection Service"
"WebClient","WebClient","Stopped","WebClient"
"Wecsvc","Wecsvc","Stopped","Windows Event Collector"
"WEPHOSTSVC","WEPHOSTSVC","Stopped","Windows Encryption Provider Host Service"
"wercplsupport","wercplsupport","Stopped","Problem Reports and Solutions Control Panel Support"
"WerSvc","WerSvc","Stopped","Windows Error Reporting Service"
"WFDSConMgrSvc","WFDSConMgrSvc","Stopped","Wi-Fi Direct Services Connection Manager Service"
"WiaRpc","WiaRpc","Stopped","Still Image Acquisition Events"
"WinDefend","WinDefend","Running","Windows Defender Antivirus Service"
"WindowsAzureGuestAgent","WindowsAzureGuestAgent","Running","Windows Azure Guest Agent"
"WindowsAzureNetAgentSvc","WindowsAzureNetAgentSvc","Running","Windows Azure Network Agent"
"WindowsAzureTelemetryService","WindowsAzureTelemetryService","Running","Windows Azure Telemetry Service"
"WinHttpAutoProxySvc","WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Winmgmt","Running","Windows Management Instrumentation"
"WinRM","WinRM","Running","Windows Remote Management (WS-Management)"
"wisvc","wisvc","Stopped","Windows Insider Service"
"WlanSvc","WlanSvc","Stopped","WLAN AutoConfig"
"wlidsvc","wlidsvc","Stopped","Microsoft Account Sign-in Assistant"
"wlpasvc","wlpasvc","Stopped","Local Profile Assistant Service"
"WManSvc","WManSvc","Stopped","Windows Management Service"
"wmiApSrv","wmiApSrv","Stopped","WMI Performance Adapter"
"WMPNetworkSvc","WMPNetworkSvc","Stopped","Windows Media Player Network Sharing Service"
"workfolderssvc","workfolderssvc","Stopped","Work Folders"
"WpcMonSvc","WpcMonSvc","Stopped","Parental Controls"
"WPDBusEnum","WPDBusEnum","Stopped","Portable Device Enumerator Service"
"WpnService","WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_8a2a4","WpnUserService_8a2a4","Running","Windows Push Notifications User Service_8a2a4"
"wscsvc","wscsvc","Running","Security Center"
"WSearch","WSearch","Running","Windows Search"
"wuauserv","wuauserv","Running","Windows Update"
"WwanSvc","WwanSvc","Stopped","WWAN AutoConfig"
"XblAuthManager","XblAuthManager","Stopped","Xbox Live Auth Manager"
"XblGameSave","XblGameSave","Stopped","Xbox Live Game Save"
"XboxGipSvc","XboxGipSvc","Stopped","Xbox Accessory Management Service"
"XboxNetApiSvc","XboxNetApiSvc","Stopped","Xbox Live Networking Service"
